iter	Passed	Remaining
447	1134	1397
448	1136	1395
449	1139	1392
450	1141	1390
451	1144	1387
452	1146	1384
453	1149	1382
454	1152	1380
455	1154	1377
456	1157	1374
457	1159	1372
458	1162	1369
459	1165	1367
460	1167	1365
461	1170	1362
462	1172	1359
463	1174	1357
464	1177	1354
465	1179	1351
466	1182	1349
467	1184	1346
468	1187	1344
469	1190	1342
470	1192	1339
471	1195	1337
472	1198	1335
473	1200	1332
474	1203	1329
475	1205	1327
476	1208	1324
477	1210	1321
478	1212	1319
479	1215	1316
480	1217	1313
481	1220	1311
482	1222	1308
483	1225	1306
484	1227	1303
485	1230	1301
486	1233	1298
487	1235	1296
488	1238	1294
489	1240	1291
490	1243	1288
491	1246	1286
492	1248	1283
493	1251	1281
494	1253	1278
495	1255	1276
496	1258	1273
497	1260	1271
498	1263	1268
499	1265	1265
500	1268	1263
501	1270	1260
502	1273	1258
503	1275	1255
504	1278	1253
505	1280	1250
506	1283	1247
507	1285	1245
508	1288	1242
509	1291	1240
510	1294	1238
511	1296	1235
512	1299	1233
513	1301	1230
514	1304	1228
515	1307	1226
516	1309	1223
517	1312	1220
518	1314	1218
519	1317	1215
520	1319	1213
521	1321	1210
522	1324	1207
523	1327	1205
524	1330	1203
525	1332	1200
526	1334	1197
527	1337	1195
528	1339	1193
529	1342	1190
530	1344	1187
531	1347	1185
532	1350	1182
533	1352	1180
534	1355	1177
535	1357	1175
536	1360	1172
537	1362	1170
538	1365	1167
539	1367	1164
540	1370	1162
541	1372	1159
542	1374	1157
543	1377	1154
544	1379	1151
545	1382	1149
546	1384	1146
547	1387	1144
548	1389	1141
549	1392	1139
550	1394	1136
551	1397	1134
552	1399	1131
553	1402	1128
554	1404	1126
555	1407	1123
556	1409	1121
557	1411	1118
558	1414	1115
559	1416	1113
560	1419	1110
561	1421	1108
562	1424	1105
563	1426	1102
564	1429	1100
565	1431	1097
566	1434	1095
567	1436	1092
568	1439	1090
569	1441	1087
570	1444	1085
571	1446	1082
572	1449	1080
573	1451	1077
574	1454	1075
575	1456	1072
576	1459	1069
577	1461	1067
578	1464	1064
579	1466	1062
580	1468	1059
581	1471	1056
582	1473	1054
583	1476	1051
584	1479	1049
585	1481	1046
586	1484	1044
587	1486	1041
588	1489	1039
589	1491	1036
590	1494	1034
591	1496	1031
592	1499	1028
593	1501	1026
594	1504	1023
595	1506	1021
596	1509	1018
597	1512	1016
598	1514	1013
599	1517	1011
600	1519	1008
601	1522	1006
602	1524	1003
603	1527	1001
604	1530	999
605	1532	996
606	1535	993
607	1538	991
608	1540	989
609	1543	986
610	1545	984
611	1548	981
612	1550	979
613	1553	976
614	1555	974
615	1558	971
616	1560	968
617	1563	966
618	1565	963
619	1568	961
620	1570	958
621	1573	956
622	1575	953
623	1577	950
624	1580	948
625	1582	945
626	1585	943
627	1587	940
628	1590	938
629	1592	935
630	1595	932
631	1597	930
632	1600	927
633	1602	925
634	1605	922
635	1607	920
636	1610	917
637	1612	914
638	1615	912
639	1617	909
640	1620	907
641	1622	904
642	1625	902
643	1627	899
644	1630	897
645	1632	894
646	1635	892
647	1637	889
648	1640	887
649	1642	884
650	1645	882
651	1647	879
652	1650	876
653	1652	874
654	1655	871
655	1657	869
656	1659	866
657	1662	864
658	1664	861
659	1667	859
660	1670	856
661	1672	853
662	1675	851
663	1677	849
664	1680	846
665	1682	843
666	1685	841
667	1687	838
668	1690	836
669	1692	833
670	1695	831
671	1697	828
672	1700	826
673	1702	823
674	1705	820
675	1707	818
676	1710	815
677	1712	813
678	1715	810
679	1717	808
680	1720	805
681	1722	803
682	1725	800
683	1728	798
684	1730	795
685	1733	793
686	1736	791
687	1739	788
688	1741	786
689	1744	783
690	1746	780
691	1748	778
692	1751	775
693	1754	773
694	1756	770
695	1759	768
696	1761	765
697	1764	763
698	1766	760
699	1769	758
700	1771	755
701	1774	753
702	1776	750
703	1779	748
704	1781	745
705	1783	742
706	1786	740
707	1788	737
708	1791	735
709	1794	732
710	1796	730
711	1798	727
712	1801	725
713	1804	722
714	1806	720
715	1809	717
716	1811	715
717	1814	712
718	1816	710
719	1819	707
720	1822	705
721	1824	702
722	1827	700
723	1829	697
724	1832	694
725	1834	692
726	1837	689
727	1839	687
728	1841	684
729	1844	682
730	1846	679
731	1849	677
732	1851	674
733	1854	671
734	1856	669
735	1859	666
736	1861	664
737	1864	661
738	1867	659
739	1869	656
740	1872	654
741	1874	651
742	1877	649
743	1879	646
744	1882	644
745	1885	641
746	1887	639
747	1889	636
748	1892	634
749	1894	631
750	1897	629
751	1899	626
752	1902	624
753	1905	621
754	1908	619
755	1910	616
756	1913	614
757	1915	611
758	1919	609
759	1921	606
760	1924	604
761	1926	601
762	1929	599
763	1932	596
764	1934	594
765	1937	591
766	1940	589
767	1942	586
768	1945	584
769	1947	581
770	1950	579
771	1952	576
772	1955	574
773	1957	571
774	1960	569
775	1963	566
776	1965	564
777	1968	561
778	1970	559
779	1973	556
780	1975	553
781	1977	551
782	1980	548
783	1983	546
784	1985	543
785	1988	541
786	1991	538
787	1993	536
788	1996	533
789	1999	531
790	2001	528
791	2004	526
792	2006	523
793	2008	521
794	2011	518
795	2013	516
796	2016	513
797	2018	511
798	2021	508
799	2023	505
800	2026	503
801	2028	500
802	2030	498
803	2033	495
804	2035	493
805	2038	490
806	2041	488
807	2043	485
808	2045	483
809	2048	480
810	2051	477
811	2053	475
812	2056	472
813	2058	470
814	2061	467
815	2063	465
816	2066	462
817	2069	460
818	2071	457
819	2074	455
820	2076	452
821	2079	450
822	2081	447
823	2084	445
824	2086	442
825	2089	440
826	2091	437
827	2094	435
828	2096	432
829	2099	429
830	2101	427
831	2104	424
832	2106	422
833	2109	419
834	2111	417
835	2114	414
836	2116	412
837	2119	409
838	2121	407
839	2124	404
840	2126	402
841	2129	399
842	2131	397
843	2134	394
844	2136	391
845	2139	389
846	2141	386
847	2144	384
848	2146	381
849	2149	379
850	2152	376
851	2154	374
852	2157	371
853	2159	369
854	2162	366
855	2164	364
856	2167	361
857	2169	359
858	2172	356
859	2174	353
860	2177	351
861	2179	348
862	2181	346
863	2184	343
864	2186	341
865	2189	338
866	2191	336
867	2194	333
868	2196	331
869	2199	328
870	2201	326
871	2204	323
872	2206	320
873	2209	318
874	2211	315
875	2213	313
876	2216	310
877	2218	308
878	2221	305
879	2224	303
880	2226	300
881	2228	298
882	2231	295
883	2233	293
884	2236	290
885	2239	288
886	2241	285
887	2244	283
888	2247	280
889	2250	278
890	2253	275
891	2255	273
892	2258	270
893	2260	268
894	2263	265
895	2266	263
896	2268	260
897	2271	257
898	2273	255
899	2276	252
900	2278	250
901	2281	247
902	2283	245
903	2286	242
904	2288	240
905	2291	237
906	2293	235
907	2296	232
908	2298	230
909	2300	227
910	2303	225
911	2305	222
912	2308	219
913	2310	217
914	2313	214
915	2315	212
916	2318	209
917	2320	207
918	2323	204
919	2325	202
920	2328	199
921	2330	197
922	2334	194
923	2336	192
924	2338	189
925	2341	187
926	2343	184
927	2346	182
928	2348	179
929	2351	176
930	2353	174
931	2355	171
932	2358	169
933	2361	166
934	2363	164
935	2366	161
936	2369	159
937	2371	156
938	2374	154
939	2377	151
940	2379	149
941	2382	146
942	2384	144
943	2387	141
944	2389	139
945	2392	136
946	2394	134
947	2397	131
948	2400	128
949	2402	126
950	2405	123
951	2407	121
952	2409	118
953	2412	116
954	2414	113
955	2417	111
956	2419	108
957	2422	106
958	2424	103
959	2427	101
960	2429	98
961	2432	96
962	2434	93
963	2437	91
964	2439	88
965	2442	85
966	2444	83
967	2447	80
968	2449	78
969	2452	75
970	2455	73
971	2458	70
972	2460	68
973	2463	65
974	2465	63
975	2467	60
976	2470	58
977	2473	55
978	2475	53
979	2478	50
980	2480	48
981	2483	45
982	2486	42
983	2488	40
984	2491	37
985	2494	35
986	2496	32
987	2498	30
988	2501	27
989	2503	25
990	2506	22
991	2509	20
992	2511	17
993	2514	15
994	2516	12
995	2519	10
996	2521	7
997	2523	5
998	2526	2
999	2529	0
