iter	RMSE
171	21.5691642
172	21.56227505
173	21.55429356
174	21.54951352
175	21.54372127
176	21.53834232
177	21.53315109
178	21.52654419
179	21.52134157
180	21.5123489
181	21.50711766
182	21.50032066
183	21.49441821
184	21.48524996
185	21.4793518
186	21.47317824
187	21.46684964
188	21.46009768
189	21.45497831
190	21.44636985
191	21.43939155
192	21.43122008
193	21.42533321
194	21.42201524
195	21.41329171
196	21.40661718
197	21.39951537
198	21.39461314
199	21.38609596
200	21.37941384
201	21.3702864
202	21.36589153
203	21.35953825
204	21.35224763
205	21.34660218
206	21.34177117
207	21.33612723
208	21.33033868
209	21.32354987
210	21.31711123
211	21.31225867
212	21.30462213
213	21.29845965
214	21.29241036
215	21.2889975
216	21.28399337
217	21.27683885
218	21.27111226
219	21.26418639
220	21.26077411
221	21.25389081
222	21.24937302
223	21.23955234
224	21.23470838
225	21.22699899
226	21.21905014
227	21.21390946
228	21.20958635
229	21.20393143
230	21.19744243
231	21.1915226
232	21.18617155
233	21.18011758
234	21.17076482
235	21.16686981
236	21.16071847
237	21.1574367
238	21.15000311
239	21.14386701
240	21.13954826
241	21.13320697
242	21.12889665
243	21.1238186
244	21.12086984
245	21.11388082
246	21.10986481
247	21.10147009
248	21.09620022
249	21.090059
250	21.08640839
251	21.08046681
252	21.07611979
253	21.07061137
254	21.06482146
255	21.06077025
256	21.0564161
257	21.05274135
258	21.04823788
259	21.04092747
260	21.03631694
261	21.02996449
262	21.0233377
263	21.01730415
264	21.01246076
265	21.00356331
266	20.99918404
267	20.9930481
268	20.98565455
269	20.980935
270	20.97576438
271	20.96995784
272	20.96314543
273	20.95688039
274	20.95122249
275	20.94628855
276	20.94252438
277	20.93716759
278	20.93196073
279	20.92536729
280	20.91942329
281	20.91363172
282	20.90891944
283	20.90552311
284	20.90134264
285	20.89741891
286	20.89236369
287	20.8879005
288	20.88276403
289	20.87894516
290	20.87208086
291	20.86838612
292	20.86265122
293	20.85778683
294	20.85081732
295	20.84622855
296	20.84158379
297	20.83706034
298	20.83222267
299	20.82836648
300	20.82290941
301	20.81913339
302	20.81587931
303	20.81105834
304	20.80593852
305	20.79972346
306	20.79473831
307	20.78795514
308	20.78230821
309	20.77933691
310	20.775322
311	20.76927675
312	20.76472174
313	20.75895445
314	20.75268947
315	20.74808444
316	20.74425291
317	20.73985215
318	20.73444552
319	20.73191068
320	20.72824201
321	20.72357964
322	20.71920411
323	20.71314715
324	20.70900438
325	20.70307263
326	20.69865187
327	20.69413511
328	20.68834508
329	20.68240267
330	20.67836429
331	20.67283427
332	20.66861728
333	20.66330709
334	20.65754909
335	20.65283243
336	20.64842409
337	20.64475399
338	20.64196905
339	20.63863876
340	20.63391832
341	20.63041056
342	20.62400174
343	20.6210296
344	20.61691706
345	20.61367535
346	20.60978201
347	20.60525526
348	20.60062516
349	20.58744065
350	20.58178684
351	20.57675416
352	20.57183861
353	20.56315599
354	20.55892291
355	20.55463489
356	20.55029542
357	20.54458248
358	20.53985982
359	20.53611429
360	20.53164975
361	20.52711819
362	20.52295469
363	20.51847372
364	20.51375162
365	20.51012947
366	20.50508026
367	20.50015403
368	20.49505895
369	20.49073983
370	20.48601443
371	20.48151545
372	20.47633239
373	20.47299905
374	20.46151221
375	20.45672954
376	20.45134673
377	20.44712651
378	20.44416419
379	20.43833875
380	20.43367998
381	20.43067105
382	20.42690978
383	20.42178555
384	20.41747544
385	20.41274907
386	20.4087218
387	20.40703928
388	20.40188517
389	20.39942998
390	20.39517951
391	20.3893774
392	20.38408718
393	20.37805515
394	20.37604028
395	20.37098845
396	20.36752624
397	20.36230827
398	20.35777146
399	20.35517776
400	20.351594
401	20.34827025
402	20.34572841
403	20.33725031
404	20.33195983
405	20.32844143
406	20.32420046
407	20.31704578
408	20.31299361
409	20.30941726
410	20.30401355
411	20.29849676
412	20.29307929
413	20.29076066
414	20.28660987
415	20.28367338
416	20.27959939
417	20.27619913
418	20.27308508
419	20.27040496
420	20.26633414
421	20.26170971
422	20.25805217
423	20.2526704
424	20.24868169
425	20.24355584
426	20.23948291
427	20.2345183
428	20.23031049
429	20.22380616
430	20.21890492
431	20.21517009
432	20.21092424
433	20.20504376
434	20.19869081
435	20.1961318
436	20.19327093
437	20.19089192
438	20.18708709
439	20.18389189
440	20.18056923
441	20.17769112
442	20.17371263
443	20.17126432
444	20.16640403
445	20.16199017
446	20.15925066
447	20.15464391
448	20.15142438
449	20.14683385
450	20.1439177
451	20.13957094
452	20.13580856
453	20.1324535
454	20.12972103
455	20.12625335
456	20.12298164
457	20.11881616
458	20.11557465
459	20.11312872
460	20.11022376
461	20.10514152
462	20.10243128
463	20.09965391
464	20.09622439
465	20.09439944
466	20.09056476
467	20.08612174
468	20.08118936
469	20.07863645
470	20.07630134
471	20.07094931
472	20.0674381
473	20.0625711
474	20.05879602
475	20.0555648
476	20.05163363
477	20.04812152
478	20.04349205
479	20.03832605
480	20.03569618
481	20.03271991
482	20.0284356
483	20.02474551
484	20.02136793
485	20.01512087
486	20.01018054
487	20.00801162
488	20.00408032
489	20.0017144
490	19.99902859
491	19.99252058
492	19.98955055
493	19.98660259
494	19.98269787
495	19.97950298
496	19.97120823
497	19.96910768
498	19.96556749
499	19.95978955
500	19.95568148
501	19.95058915
502	19.94656365
503	19.94412002
504	19.9393319
505	19.9352465
506	19.93020854
507	19.92678367
508	19.92458652
509	19.92036806
510	19.91706526
511	19.9133122
512	19.90937494
513	19.9075789
514	19.90317366
515	19.90058545
516	19.89696933
517	19.89386877
518	19.89051643
519	19.88581861
520	19.88277957
521	19.88081621
522	19.87811735
523	19.87466536
524	19.86956673
525	19.86669791
526	19.86383927
527	19.85946801
528	19.85485207
529	19.85198231
530	19.84924374
531	19.84593547
532	19.84210488
533	19.83935375
534	19.83450032
535	19.8303187
536	19.82652894
537	19.82394976
538	19.82033497
539	19.81913212
540	19.81567192
541	19.81274184
542	19.80951073
543	19.80544237
544	19.80050172
545	19.79760777
546	19.79341025
547	19.78950061
548	19.78593455
549	19.78308478
550	19.77986076
551	19.7747553
552	19.77027504
553	19.76789667
554	19.76364669
555	19.76092181
556	19.75833023
557	19.75515613
558	19.75289788
559	19.74912955
560	19.74484194
561	19.74197526
562	19.73825906
563	19.73550204
564	19.7317686
565	19.72909726
566	19.72585657
567	19.72316901
568	19.71950975
569	19.71755959
570	19.7137015
571	19.70949427
572	19.70495314
573	19.70222302
574	19.69814684
575	19.69431631
576	19.69178926
577	19.68831356
578	19.68598797
579	19.68234466
580	19.67945153
581	19.67693942
582	19.67384241
583	19.67032155
584	19.66694242
585	19.66306678
586	19.65854267
587	19.65505817
588	19.65134141
589	19.64522016
590	19.64281875
591	19.63931622
592	19.63756311
593	19.63481578
594	19.6281575
595	19.625121
596	19.61899385
597	19.61568492
598	19.61130428
599	19.60734049
600	19.60289337
601	19.6000045
602	19.59566023
603	19.59036657
604	19.58712035
605	19.5847358
606	19.58020421
607	19.57590943
608	19.57407636
609	19.57032302
610	19.56771527
611	19.56478871
612	19.56167645
613	19.55859088
614	19.55605495
615	19.55254438
616	19.54768645
617	19.54291688
618	19.53957227
619	19.5375641
620	19.53340973
621	19.53107206
622	19.52807825
623	19.5243769
624	19.5217944
625	19.51875153
626	19.513401
627	19.51033444
628	19.50705305
629	19.50460271
630	19.50184638
631	19.49810794
632	19.49127877
633	19.48746976
634	19.48323475
635	19.47882545
636	19.47345799
637	19.47056796
638	19.46737276
639	19.46364036
640	19.46074601
641	19.45786949
642	19.4553272
643	19.44943797
644	19.44699631
645	19.44452098
646	19.44098021
647	19.43804314
648	19.43253561
649	19.42807204
650	19.42543403
651	19.42265292
652	19.42034239
653	19.41571651
654	19.41330359
655	19.40736622
656	19.40429679
657	19.40035117
658	19.39862302
659	19.3960875
660	19.39349856
661	19.39086686
662	19.38778472
663	19.38566134
664	19.38285524
665	19.38057488
666	19.37761803
667	19.37490928
668	19.37310143
669	19.36962156
670	19.36694443
671	19.36431911
672	19.36205553
673	19.35887747
674	19.35617671
675	19.35165769
676	19.34857758
677	19.34473752
678	19.34004677
679	19.33607189
680	19.3316934
681	19.32851639
682	19.32578241
683	19.32307015
684	19.31840049
685	19.31471722
686	19.31040164
687	19.30887132
688	19.30599763
689	19.30382878
690	19.30053713
691	19.29799565
692	19.29479153
693	19.29179515
694	19.28926973
695	19.28603893
696	19.28216283
697	19.2799964
698	19.27695962
699	19.27221307
700	19.26891027
701	19.26545913
702	19.26227353
703	19.25757262
704	19.25507974
705	19.25282048
706	19.25093266
707	19.24719278
708	19.24305269
709	19.2385979
710	19.23569351
711	19.23331818
712	19.23151426
713	19.2295961
714	19.22641071
715	19.22326316
716	19.22099682
717	19.21785608
718	19.21441313
719	19.2117354
720	19.20820334
721	19.20474821
722	19.20102771
723	19.19943731
724	19.19709032
725	19.19363644
726	19.18956807
727	19.18559627
728	19.18196796
729	19.17880767
730	19.17588591
731	19.1734141
732	19.17202187
733	19.16997894
734	19.16659774
735	19.16189471
736	19.15959747
737	19.15624801
738	19.15347625
739	19.15076088
740	19.14710758
741	19.14357462
742	19.14099695
743	19.13782336
744	19.13533431
745	19.13121243
746	19.12854309
747	19.12470376
748	19.12237506
749	19.11985784
750	19.11555053
751	19.11253916
752	19.10696284
753	19.10398456
754	19.10033782
755	19.0969223
756	19.09346973
757	19.09051105
758	19.08775306
759	19.0840381
760	19.08132462
761	19.07938181
762	19.0765761
763	19.07332409
764	19.07038793
765	19.06785497
766	19.06506511
767	19.06279612
768	19.05972078
769	19.05635083
770	19.05282736
771	19.05040543
772	19.04709052
773	19.04458088
774	19.04196737
775	19.03905123
776	19.03594995
777	19.03338637
778	19.02996361
779	19.02733852
780	19.02434221
781	19.02077851
782	19.01846023
783	19.01608214
784	19.01267101
785	19.00975941
786	19.00689909
787	19.00515291
788	19.00227674
789	19.0000176
790	18.99531282
791	18.99177697
792	18.98862245
793	18.98638104
794	18.98326609
795	18.98140389
796	18.97746608
797	18.97401956
798	18.9703089
799	18.96728411
800	18.96572881
801	18.96302138
802	18.96142742
803	18.95926232
804	18.95727694
805	18.95361225
806	18.94909251
807	18.94638123
808	18.94375534
809	18.94033436
810	18.93771694
811	18.9349277
812	18.93212446
813	18.93006671
814	18.92755718
815	18.9252566
816	18.92331193
817	18.92002288
818	18.9167994
819	18.91370295
820	18.91086578
821	18.90776105
822	18.9050475
823	18.90239727
824	18.89957817
825	18.89746582
826	18.89414272
827	18.89188831
828	18.88748304
829	18.88332458
830	18.88212192
831	18.87959225
832	18.87728577
833	18.87408948
834	18.87098198
835	18.86898987
836	18.8657639
837	18.86273261
838	18.85991414
839	18.85724268
840	18.85373188
841	18.85102887
842	18.84787095
843	18.84582588
844	18.84274088
845	18.83989966
846	18.8374568
847	18.83511455
848	18.8322381
849	18.82967827
850	18.82714626
851	18.82284647
852	18.81975801
853	18.81831953
854	18.8151535
855	18.81177265
856	18.8089131
857	18.80513782
858	18.80189231
859	18.79900282
860	18.79618293
861	18.79394424
862	18.79160883
863	18.78730184
864	18.78278472
865	18.78013938
866	18.77733057
867	18.77302012
868	18.77066345
869	18.76846254
870	18.76637943
871	18.76413676
872	18.76273841
873	18.75906576
874	18.75697714
875	18.75490845
876	18.75233481
877	18.74889448
878	18.74575297
879	18.7417921
880	18.73925614
881	18.73753266
882	18.73563699
883	18.73351633
884	18.73157476
885	18.72877001
886	18.72709056
887	18.72497904
888	18.72093187
889	18.71747531
890	18.71507016
891	18.71354825
892	18.7104938
893	18.70829361
894	18.70540966
895	18.70309346
896	18.70119674
897	18.69862304
898	18.69561059
899	18.69257238
900	18.6900396
901	18.68853478
902	18.68574046
903	18.68352989
904	18.68180043
905	18.67898244
906	18.67628641
907	18.6734633
908	18.67148063
909	18.66819607
910	18.66529641
911	18.66251071
912	18.6598373
913	18.65720605
914	18.65470378
915	18.65266362
916	18.64869294
917	18.64578949
918	18.64193212
919	18.63918876
920	18.63610178
921	18.63270537
922	18.62771615
923	18.6247716
924	18.62289291
925	18.61998698
926	18.61788678
927	18.61540846
928	18.61426893
929	18.61136028
930	18.6091686
931	18.60714269
932	18.60495296
933	18.60241688
934	18.59998271
935	18.5970792
936	18.594
937	18.59161104
938	18.58937298
939	18.58685707
940	18.58430654
941	18.58189924
942	18.57867517
943	18.57627656
944	18.57183572
945	18.5688915
946	18.56539507
947	18.56134411
948	18.55771068
949	18.55624822
950	18.55403084
951	18.55114288
952	18.54789725
953	18.54553589
954	18.54217402
955	18.53956846
956	18.53671212
957	18.53514938
958	18.53308107
959	18.53103952
960	18.52821752
961	18.52541382
962	18.52271971
963	18.52020254
964	18.5186126
965	18.51479338
966	18.51224255
967	18.51062514
968	18.50851378
969	18.50600967
970	18.50497019
971	18.50255689
972	18.50069525
973	18.49848248
974	18.49646536
975	18.49518743
976	18.49190511
977	18.48952163
978	18.48728034
979	18.48454185
980	18.48271994
981	18.48002532
982	18.47770541
983	18.47485443
984	18.4716818
985	18.46900812
986	18.4653398
987	18.4628902
988	18.46080077
989	18.45749403
990	18.45439221
991	18.45070715
992	18.44903716
993	18.44548916
994	18.44306279
995	18.44028923
996	18.4379402
997	18.43537177
998	18.43138021
999	18.42853043
